iter,residual_l2,error_l2
0,248.377,0.351009
1,184.57,0.346607
2,154.095,0.342701
3,134.105,0.339107
4,119.955,0.335735
5,109.373,0.332531
6,101.133,0.329463
7,94.5114,0.326507
8,89.0589,0.323646
9,84.4781,0.320869
10,80.5652,0.318165
11,77.1757,0.315528
12,74.2042,0.31295
13,71.5722,0.310427
14,69.2197,0.307954
15,67.1002,0.305529
16,65.1771,0.303147
17,63.4212,0.300805
18,61.8087,0.298503
19,60.3204,0.296237
20,58.9404,0.294006
21,57.6553,0.291808
22,56.4541,0.289641
23,55.3272,0.287505
24,54.2667,0.285398
25,53.2656,0.283318
26,52.3181,0.281266
27,51.4189,0.279239
28,50.5637,0.277237
29,49.7484,0.27526
30,48.9696,0.273306
31,48.2243,0.271375
32,47.5098,0.269466
33,46.8236,0.267578
34,46.1637,0.265712
35,45.528,0.263866
36,44.915,0.26204
37,44.3229,0.260233
38,43.7504,0.258446
39,43.1963,0.256676
40,42.6593,0.254925
41,42.1384,0.253192
42,41.6327,0.251476
43,41.1413,0.249778
44,40.6633,0.248096
45,40.198,0.24643
46,39.7448,0.24478
47,39.303,0.243146
48,38.872,0.241528
49,38.4513,0.239925
50,38.0404,0.238337
51,37.6388,0.236763
52,37.2461,0.235204
53,36.8619,0.233659
54,36.4858,0.232128
55,36.1175,0.230611
56,35.7567,0.229108
57,35.403,0.227617
58,35.0561,0.22614
59,34.7158,0.224676
60,34.3818,0.223225
61,34.054,0.221786
62,33.732,0.220359
63,33.4156,0.218945
64,33.1047,0.217543
65,32.7991,0.216153
66,32.4986,0.214774
67,32.203,0.213408
68,31.9121,0.212052
69,31.6259,0.210708
70,31.3441,0.209375
71,31.0666,0.208053
72,30.7934,0.206742
73,30.5242,0.205441
74,30.2589,0.204151
75,29.9976,0.202872
76,29.7399,0.201603
77,29.4859,0.200344
78,29.2354,0.199095
79,28.9883,0.197856
80,28.7446,0.196628
81,28.5042,0.195408
82,28.2669,0.194199
83,28.0328,0.192999
84,27.8016,0.191809
85,27.5735,0.190627
86,27.3482,0.189455
87,27.1257,0.188293
88,26.906,0.187139
89,26.689,0.185994
90,26.4746,0.184858
91,26.2628,0.183731
92,26.0535,0.182612
93,25.8467,0.181502
94,25.6423,0.180401
95,25.4402,0.179307
96,25.2405,0.178222
97,25.043,0.177146
98,24.8478,0.176077
99,24.6547,0.175017
100,24.4638,0.173964
101,24.275,0.17292
102,24.0883,0.171883
103,23.9036,0.170854
104,23.7208,0.169833
105,23.54,0.168819
106,23.3612,0.167813
107,23.1842,0.166814
108,23.009,0.165822
109,22.8357,0.164838
110,22.6642,0.163861
111,22.4944,0.162892
112,22.3263,0.161929
113,22.16,0.160973
114,21.9953,0.160025
115,21.8322,0.159083
116,21.6708,0.158148
117,21.511,0.15722
118,21.3527,0.156299
119,21.196,0.155384
120,21.0408,0.154476
121,20.8872,0.153574
122,20.7349,0.152679
123,20.5842,0.151791
124,20.4349,0.150908
125,20.2869,0.150032
126,20.1404,0.149162
127,19.9953,0.148299
128,19.8515,0.147441
129,19.709,0.14659
130,19.5679,0.145745
131,19.428,0.144905
132,19.2895,0.144072
133,19.1521,0.143244
134,19.0161,0.142423
135,18.8813,0.141607
136,18.7476,0.140797
137,18.6152,0.139992
138,18.484,0.139193
139,18.3539,0.1384
140,18.225,0.137612
141,18.0972,0.13683
142,17.9706,0.136053
143,17.8451,0.135282
144,17.7206,0.134515
145,17.5972,0.133755
146,17.475,0.132999
147,17.3537,0.132249
148,17.2335,0.131504
149,17.1144,0.130764
150,16.9962,0.130029
151,16.8791,0.129299
152,16.763,0.128574
153,16.6478,0.127854
154,16.5336,0.127139
155,16.4204,0.126429
156,16.3081,0.125723
157,16.1968,0.125023
158,16.0864,0.124327
159,15.9769,0.123636
160,15.8684,0.12295
161,15.7607,0.122268
162,15.6539,0.121591
163,15.548,0.120919
164,15.443,0.120251
165,15.3388,0.119587
166,15.2355,0.118928
167,15.133,0.118274
168,15.0314,0.117624
169,14.9305,0.116978
170,14.8305,0.116336
171,14.7313,0.115699
172,14.6329,0.115066
173,14.5353,0.114438
174,14.4385,0.113813
175,14.3425,0.113193
176,14.2472,0.112577
177,14.1526,0.111964
178,14.0589,0.111356
179,13.9658,0.110752
180,13.8735,0.110152
181,13.782,0.109556
182,13.6911,0.108964
183,13.601,0.108376
184,13.5116,0.107791
185,13.4228,0.107211
186,13.3348,0.106634
187,13.2475,0.106061
188,13.1608,0.105492
189,13.0748,0.104926
190,12.9895,0.104364
191,12.9048,0.103806
192,12.8208,0.103252
193,12.7375,0.102701
194,12.6548,0.102153
195,12.5727,0.10161
196,12.4912,0.10107
197,12.4104,0.100533
198,12.3302,0.0999995
199,12.2506,0.0994697
200,12.1716,0.0989434
201,12.0932,0.0984204
202,12.0154,0.0979008
203,11.9382,0.0973845
204,11.8616,0.0968715
205,11.7856,0.0963619
206,11.7101,0.0958555
207,11.6352,0.0953523
208,11.5609,0.0948524
209,11.4871,0.0943557
210,11.4139,0.0938621
211,11.3412,0.0933717
212,11.2691,0.0928844
213,11.1975,0.0924002
214,11.1265,0.0919191
215,11.056,0.091441
216,10.986,0.090966
217,10.9165,0.090494
218,10.8475,0.090025
219,10.7791,0.0895589
220,10.7111,0.0890957
221,10.6437,0.0886355
222,10.5768,0.0881782
223,10.5103,0.0877238
224,10.4444,0.0872722
225,10.3789,0.0868234
226,10.3139,0.0863775
227,10.2494,0.0859344
228,10.1853,0.085494
229,10.1218,0.0850564
